O,N,B,S,P,Specific surface area,Smicro,Smeso,Pore volume,Vmicro,Vmeso,Rmic/mes,Dap,ID/IG,Electrolyte,Current collector,Active mass loading,Potential window,Current density,Specific capacity
5.27,0.0,0.0,0.0,0.0,584.052,,,0.098,,,,0.671173114722662,0.9998,1M ZnSO4,Carbon cloth,,1.6,0.5,25.3333333333333
20.61,3.95,0.0,0.0,0.0,544.83,,24.81,0.26,,,4.783,1.90885230255309,0.96,2M ZnSO4,Titanium foil,2.0,1.8,0.1,134.5
20.61,3.95,0.0,0.0,0.0,544.83,,24.81,0.26,,,4.783,1.90885230255309,0.96,2M ZnSO4,Titanium foil,2.0,1.8,0.2,110.2
20.61,3.95,0.0,0.0,0.0,544.83,,24.81,0.26,,,4.783,1.90885230255309,0.96,2M ZnSO4,Titanium foil,2.0,1.8,0.4,93.0
20.61,3.95,0.0,0.0,0.0,544.83,,24.81,0.26,,,4.783,1.90885230255309,0.96,2M ZnSO4,Titanium foil,2.0,1.8,0.5,86.7
20.61,3.95,0.0,0.0,0.0,544.83,,24.81,0.26,,,4.783,1.90885230255309,0.96,2M ZnSO4,Titanium foil,2.0,1.8,1.0,72.9
20.61,3.95,0.0,0.0,0.0,544.83,,24.81,0.26,,,4.783,1.90885230255309,0.96,2M ZnSO4,Titanium foil,2.0,1.8,2.0,57.0
20.61,3.95,0.0,0.0,0.0,544.83,,24.81,0.26,,,4.783,1.90885230255309,0.96,2M ZnSO4,Titanium foil,2.0,1.8,3.0,48.0
20.61,3.95,0.0,0.0,0.0,544.83,,24.81,0.26,,,4.783,1.90885230255309,0.96,2M ZnSO4,Titanium foil,2.0,1.8,4.0,41.5
18.15,3.51,0.0,0.0,0.0,648.22,,32.82,0.32,,,4.516,1.97463824010367,1.01,2M ZnSO4,Titanium foil,2.0,1.8,0.1,156.54
18.15,3.51,0.0,0.0,0.0,648.22,,32.82,0.32,,,4.516,1.97463824010367,1.01,2M ZnSO4,Titanium foil,2.0,1.8,0.2,132.3
18.15,3.51,0.0,0.0,0.0,648.22,,32.82,0.32,,,4.516,1.97463824010367,1.01,2M ZnSO4,Titanium foil,2.0,1.8,0.3,111.55
18.15,3.51,0.0,0.0,0.0,648.22,,32.82,0.32,,,4.516,1.97463824010367,1.01,2M ZnSO4,Titanium foil,2.0,1.8,0.4,105.4
18.15,3.51,0.0,0.0,0.0,648.22,,32.82,0.32,,,4.516,1.97463824010367,1.01,2M ZnSO4,Titanium foil,2.0,1.8,0.5,98.5
18.15,3.51,0.0,0.0,0.0,648.22,,32.82,0.32,,,4.516,1.97463824010367,1.01,2M ZnSO4,Titanium foil,2.0,1.8,1.0,86.8
18.15,3.51,0.0,0.0,0.0,648.22,,32.82,0.32,,,4.516,1.97463824010367,1.01,2M ZnSO4,Titanium foil,2.0,1.8,2.0,70.5
18.15,3.51,0.0,0.0,0.0,648.22,,32.82,0.32,,,4.516,1.97463824010367,1.01,2M ZnSO4,Titanium foil,2.0,1.8,3.0,59.2
18.15,3.51,0.0,0.0,0.0,648.22,,32.82,0.32,,,4.516,1.97463824010367,1.01,2M ZnSO4,Titanium foil,2.0,1.8,4.0,51.8
15.17,1.8,0.0,0.0,0.0,225.22,,17.99,0.1,,,6.714,1.77604120415594,1.08,2M ZnSO4,Titanium foil,2.0,1.8,0.1,84.5
15.17,1.8,0.0,0.0,0.0,225.22,,17.99,0.1,,,6.714,1.77604120415594,1.08,2M ZnSO4,Titanium foil,2.0,1.8,0.2,63.4
15.17,1.8,0.0,0.0,0.0,225.22,,17.99,0.1,,,6.714,1.77604120415594,1.08,2M ZnSO4,Titanium foil,2.0,1.8,0.4,50.7
15.17,1.8,0.0,0.0,0.0,225.22,,17.99,0.1,,,6.714,1.77604120415594,1.08,2M ZnSO4,Titanium foil,2.0,1.8,0.5,45.0
15.17,1.8,0.0,0.0,0.0,225.22,,17.99,0.1,,,6.714,1.77604120415594,1.08,2M ZnSO4,Titanium foil,2.0,1.8,1.0,34.5
15.17,1.8,0.0,0.0,0.0,225.22,,17.99,0.1,,,6.714,1.77604120415594,1.08,2M ZnSO4,Titanium foil,2.0,1.8,2.0,24.5
15.17,1.8,0.0,0.0,0.0,225.22,,17.99,0.1,,,6.714,1.77604120415594,1.08,2M ZnSO4,Titanium foil,2.0,1.8,3.0,19.7
15.17,1.8,0.0,0.0,0.0,225.22,,17.99,0.1,,,6.714,1.77604120415594,1.08,2M ZnSO4,Titanium foil,2.0,1.8,4.0,17.0
11.92,0.0,0.0,0.0,0.0,2228.0,,,1.07,0.64,,1.488,1.92100538599641,1.5,1M ZnSO4,stainless-steel foil,2.0,1.75,0.2,153.0
11.92,0.0,0.0,0.0,0.0,2228.0,,,1.07,0.64,,1.488,1.92100538599641,1.5,1M ZnSO4,stainless-steel foil,2.0,1.75,0.5,125.0
11.92,0.0,0.0,0.0,0.0,2228.0,,,1.07,0.64,,1.488,1.92100538599641,1.5,1M ZnSO4,stainless-steel foil,2.0,1.75,1.0,110.0
11.92,0.0,0.0,0.0,0.0,2228.0,,,1.07,0.64,,1.488,1.92100538599641,1.5,1M ZnSO4,stainless-steel foil,2.0,1.75,2.0,98.0
11.92,0.0,0.0,0.0,0.0,2228.0,,,1.07,0.64,,1.488,1.92100538599641,1.5,1M ZnSO4,stainless-steel foil,2.0,1.75,5.0,84.0
11.92,0.0,0.0,0.0,0.0,2228.0,,,1.07,0.64,,1.488,1.92100538599641,1.5,1M ZnSO4,stainless-steel foil,2.0,1.75,10.0,75.0
5.5,2.53,0.0,0.0,0.0,947.0,506.0,,0.54,0.27,,1.0,2.28088701161563,0.855,1M ZnSO4,stainless-steel foil,,1.6,0.5,117.9
5.5,2.53,0.0,0.0,0.0,947.0,506.0,,0.54,0.27,,1.0,2.28088701161563,0.855,1M ZnSO4,stainless-steel foil,,1.6,20.0,71.0
3.67,0.0,0.0,0.0,2.71,1175.0,793.0,,0.71,0.41,,1.367,2.41702127659574,0.858,1M ZnSO4,stainless-steel foil,,1.6,0.5,136.2
3.67,0.0,0.0,0.0,2.71,1175.0,793.0,,0.71,0.41,,1.367,2.41702127659574,0.858,1M ZnSO4,stainless-steel foil,,1.6,20.0,75.9
10.41,2.37,0.0,0.0,2.1,899.0,358.0,,0.52,0.19,,0.576,2.31368186874305,0.856,1M ZnSO4,stainless-steel foil,,1.6,0.5,165.9
10.41,2.37,0.0,0.0,2.1,899.0,358.0,,0.52,0.19,,0.576,2.31368186874305,0.856,1M ZnSO4,stainless-steel foil,,1.6,20.0,110.9
9.64,3.44,0.0,0.0,0.0,1624.0,1125.0,,0.918,0.599,,1.878,2.26108374384236,0.999,1M ZnSO4,stainless-steel mesh,2.0,1.6,0.1,119.9
9.64,3.44,0.0,0.0,0.0,1624.0,1125.0,,0.918,0.599,,1.878,2.26108374384236,0.999,1M ZnSO4,stainless-steel mesh,2.0,1.6,0.2,108.3
9.64,3.44,0.0,0.0,0.0,1624.0,1125.0,,0.918,0.599,,1.878,2.26108374384236,0.999,1M ZnSO4,stainless-steel mesh,2.0,1.6,0.5,100.2
9.64,3.44,0.0,0.0,0.0,1624.0,1125.0,,0.918,0.599,,1.878,2.26108374384236,0.999,1M ZnSO4,stainless-steel mesh,2.0,1.6,1.0,94.6
9.64,3.44,0.0,0.0,0.0,1624.0,1125.0,,0.918,0.599,,1.878,2.26108374384236,0.999,1M ZnSO4,stainless-steel mesh,2.0,1.6,2.0,90.4
9.64,3.44,0.0,0.0,0.0,1624.0,1125.0,,0.918,0.599,,1.878,2.26108374384236,0.999,1M ZnSO4,stainless-steel mesh,2.0,1.6,5.0,84.8
9.64,3.44,0.0,0.0,0.0,1624.0,1125.0,,0.918,0.599,,1.878,2.26108374384236,0.999,1M ZnSO4,stainless-steel mesh,2.0,1.6,20.0,81.1
8.42,1.64,0.0,0.0,0.0,1949.0,961.0,,1.133,0.519,,0.845,2.32529502308876,0.917,1M ZnSO4,stainless-steel mesh,2.0,1.6,0.1,159.9
8.42,1.64,0.0,0.0,0.0,1949.0,961.0,,1.133,0.519,,0.845,2.32529502308876,0.917,1M ZnSO4,stainless-steel mesh,2.0,1.6,0.2,139.2
8.42,1.64,0.0,0.0,0.0,1949.0,961.0,,1.133,0.519,,0.845,2.32529502308876,0.917,1M ZnSO4,stainless-steel mesh,10.0,1.6,0.5,124.8
8.42,1.64,0.0,0.0,0.0,1949.0,961.0,,1.133,0.519,,0.845,2.32529502308876,0.917,1M ZnSO4,stainless-steel mesh,10.0,1.6,1.0,116.0
8.42,1.64,0.0,0.0,0.0,1949.0,961.0,,1.133,0.519,,0.845,2.32529502308876,0.917,1M ZnSO4,stainless-steel mesh,10.0,1.6,2.0,109.9
8.42,1.64,0.0,0.0,0.0,1949.0,961.0,,1.133,0.519,,0.845,2.32529502308876,0.917,1M ZnSO4,stainless-steel mesh,10.0,1.6,5.0,101.9
8.42,1.64,0.0,0.0,0.0,1949.0,961.0,,1.133,0.519,,0.845,2.32529502308876,0.917,1M ZnSO4,stainless-steel mesh,10.0,1.6,20.0,94.0
5.52,0.89,0.0,0.0,0.0,2276.0,480.0,,1.331,0.279,,0.265,2.33919156414763,0.872,1M ZnSO4,stainless-steel mesh,2.0,1.6,0.1,114.2
5.52,0.89,0.0,0.0,0.0,2276.0,480.0,,1.331,0.279,,0.265,2.33919156414763,0.872,1M ZnSO4,stainless-steel mesh,2.0,1.6,0.2,104.8
5.52,0.89,0.0,0.0,0.0,2276.0,480.0,,1.331,0.279,,0.265,2.33919156414763,0.872,1M ZnSO4,stainless-steel mesh,2.0,1.6,0.5,95.6
5.52,0.89,0.0,0.0,0.0,2276.0,480.0,,1.331,0.279,,0.265,2.33919156414763,0.872,1M ZnSO4,stainless-steel mesh,2.0,1.6,1.0,90.0
5.52,0.89,0.0,0.0,0.0,2276.0,480.0,,1.331,0.279,,0.265,2.33919156414763,0.872,1M ZnSO4,stainless-steel mesh,2.0,1.6,2.0,86.8
5.52,0.89,0.0,0.0,0.0,2276.0,480.0,,1.331,0.279,,0.265,2.33919156414763,0.872,1M ZnSO4,stainless-steel mesh,2.0,1.6,5.0,82.4
5.52,0.89,0.0,0.0,0.0,2276.0,480.0,,1.331,0.279,,0.265,2.33919156414763,0.872,1M ZnSO4,stainless-steel mesh,2.0,1.6,20.0,78.5
7.71,0.0,0.0,0.0,0.0,804.0,500.0,304.0,0.315,,,1.645,1.56716417910448,0.97,1M ZnSO4,stainless-steel mesh,1.2,1.6,0.5,48.3
7.71,0.0,0.0,0.0,0.0,804.0,500.0,304.0,0.315,,,1.645,1.56716417910448,0.97,1M ZnSO4,stainless-steel mesh,1.2,1.6,1.0,43.4
7.71,0.0,0.0,0.0,0.0,804.0,500.0,304.0,0.315,,,1.645,1.56716417910448,0.97,1M ZnSO4,stainless-steel mesh,1.2,1.6,2.0,38.9
7.71,0.0,0.0,0.0,0.0,804.0,500.0,304.0,0.315,,,1.645,1.56716417910448,0.97,1M ZnSO4,stainless-steel mesh,1.2,1.6,3.0,36.5
