O,N,Specific surface area,Pore volume,Dap,ID/IG,Current density,Specific capacity,micro%
3.9,9.7,844.0,0.41,1.943127962,0.99,1.0,130.4,0.773696682
3.9,9.7,844.0,0.41,1.943127962,0.99,2.0,117.9,0.773696682
3.9,9.7,844.0,0.41,1.943127962,0.99,3.0,112.3,0.773696682
3.9,9.7,844.0,0.41,1.943127962,0.99,4.0,107.7,0.773696682
3.9,9.7,844.0,0.41,1.943127962,0.99,5.0,104.9,0.773696682
3.9,9.7,844.0,0.41,1.943127962,0.99,7.0,102.2,0.773696682
3.9,9.7,844.0,0.41,1.943127962,0.99,10.0,100.3,0.773696682
4.81,1.09,972.4,1.67,6.869600987,0.82,0.2,104.9,0.173652695
4.81,1.09,972.4,1.67,6.869600987,0.82,0.5,91.0,0.173652695
4.81,1.09,972.4,1.67,6.869600987,0.82,1.0,84.9,0.173652695
4.81,1.09,972.4,1.67,6.869600987,0.82,2.0,78.2,0.173652695
4.81,1.09,972.4,1.67,6.869600987,0.82,3.0,74.2,0.173652695
4.81,1.09,972.4,1.67,6.869600987,0.82,4.0,70.8,0.173652695
4.81,1.09,972.4,1.67,6.869600987,0.82,5.0,68.5,0.173652695
4.81,1.09,972.4,1.67,6.869600987,0.82,10.0,60.3,0.173652695
4.81,1.09,972.4,1.67,6.869600987,0.82,15.0,56.5,0.173652695
4.81,1.09,972.4,1.67,6.869600987,0.82,20.0,52.1,0.173652695
4.81,1.09,972.4,1.67,6.869600987,0.82,30.0,44.8,0.173652695
4.89,1.74,1666.8,2.42,5.807535397,0.88,0.2,132.9,0.119834711
4.89,1.74,1666.8,2.42,5.807535397,0.88,0.5,114.4,0.119834711
4.89,1.74,1666.8,2.42,5.807535397,0.88,1.0,108.9,0.119834711
4.89,1.74,1666.8,2.42,5.807535397,0.88,2.0,99.4,0.119834711
4.89,1.74,1666.8,2.42,5.807535397,0.88,3.0,95.6,0.119834711
4.89,1.74,1666.8,2.42,5.807535397,0.88,4.0,91.1,0.119834711
4.89,1.74,1666.8,2.42,5.807535397,0.88,5.0,89.9,0.119834711
